name, token id
tennessine117,28596229990855316247514794050187390099085750460872756936277624758298386331773
terbium65,82633504966256688124022017735218383668578611055728809161526179858713599587302
thallium81,41464197634561281473465072467370660485087394848296812616273697970626448901555
thorium90,68829006686958418672222010552078023935130007905567001624759160327373785053551
thulium69,3999522283528902421384039649587810557882382476142566290751599494363623935985
tin50,34648272561732478066341138796875918818193326976007633773262407047039158151686
titanium22,79606838352765209602359839967846584122143072710086232336093951130223037230233
tungsten74,41224266816813400949165777714286077868884777056193961087730659020707227712164
uranium92,101195707855000250445602898977958962276522254137606879694305628677497700434778
vanadium23,22125879368392264683853836256257313685736833772449472159904387482523365404287
xenon54,88578707165050517694258553123814974160856192660573813029099214986707193000028
ytterbium70,73369786071832917327717483434641929023413101827718763876325656373884524453077
yttrium39,21146211523142362598077937208430136666962564636557606051957715758161802851174
zinc30,75077043739730126772813785780549098697910993975893146070587127123248204432094
zirconium40,108303148964183080899853726113230943920722006981366269769983690665003381850244
